Type of waste,Quantity (kg),Disposal method,Geographic location,Time period
Plastic,101,Recycling,Luckhnow,2021
Organic,157,Composting,Bhubaneshwar,2023
Plastic,114,Recycling,Luckhnow,2023
Plastic,110,Recycling,Bangalore,2023
Paper,150,Landfill,Bhopal,2023
Organic,148,Composting,Kolkata,2023
Plastic,86,Recycling,Mumbai,2023
Paper,90,Recycling,Ahmedabad,2023
Paper,141,Recycling,Kolkata,2023
Plastic,163,Recycling,Kolkata,2023
Organic,149,Composting,Ahmedabad,2023
Organic,180,Composting,Pune,2022
Plastic,95,Recycling,Bangalore,2021
Plastic,112,Recycling,Delhi,2022
Paper,80,Recycling,Bhopal,2021
Organic,158,Composting,Bhubaneshwar,2023
Organic,161,Composting,Pune,2022
Paper,80,Recycling,Mumbai,2023
Paper,80,Recycling,Bhopal,2021
Organic,148,Composting,Bhubaneshwar,2021
Organic,190,Composting,Bhubaneshwar,2023
Organic,196,Composting,Pune,2022
Organic,137,Composting,Bhubaneshwar,2023
Plastic,86,Landfill,Delhi,2021
Plastic,135,Recycling,Bangalore,2023
Organic,163,Composting,Ahmedabad,2022
Paper,134,Recycling,Kolkata,2023
Plastic,113,Landfill,Delhi,2021
Plastic,80,Recycling,Kolkata,2023
Organic,168,Composting,Pune,2023
Paper,103,Landfill,Bhopal,2022
Organic,154,Composting,Ahmedabad,2022
Paper,160,Composting,Luckhnow,2021
Plastic,96,Recycling,Luckhnow,2023
Plastic,101,Recycling,Delhi,2021
Organic,116,Recycling,Kolkata,2021
Paper,99,Landfill,Bhopal,2022
Paper,194,Composting,Ahmedabad,2023
Plastic,103,Landfill,Delhi,2021
Organic,200,Composting,Pune,2022
Paper,80,Recycling,Luckhnow,2023
Organic,163,Composting,Pune,2023
Paper,97,Landfill,Bhopal,2021
Paper,136,Recycling,Luckhnow,2023
Plastic,98,Landfill,Bhopal,2021
Organic,171,Composting,Pune,2022
Organic,167,Composting,Ahmedabad,2023
Paper,112,Landfill,Bhopal,2022
Organic,184,Composting,Bhubaneshwar,2023
Organic,148,Composting,Bhubaneshwar,2022
Plastic,81,Recycling,Mumbai,2023
Paper,89,Recycling,Kolkata,2023
Paper,100,Landfill,Bhopal,2021
Organic,175,Composting,Ahmedabad,2023
Organic,161,Composting,Ahmedabad,2023
Plastic,80,Recycling,Mumbai,2023
Organic,193,Composting,Pune,2023
Organic,129,Composting,Ahmedabad,2023
Organic,157,Composting,Ahmedabad,2023
Plastic,97,Recycling,Mumbai,2023
Organic,116,Composting,Bhubaneshwar,2023
Plastic,112,Landfill,Delhi,2021
Plastic,84,Landfill,Bangalore,2023
Paper,95,Recycling,Mumbai,2022
Organic,170,Composting,Ahmedabad,2023
Organic,112,Landfill,Bangalore,2023
Paper,90,Landfill,Luckhnow,2023
Paper,86,Recycling,Mumbai,2023
Organic,200,Landfill,Pune,2022
Paper,80,Recycling,Luckhnow,2022
Plastic,92,Recycling,Mumbai,2023
Plastic,94,Recycling,Luckhnow,2021
Organic,127,Composting,Ahmedabad,2023
Organic,179,Composting,Bhubaneshwar,2022
Paper,139,Recycling,Kolkata,2023
Organic,189,Composting,Ahmedabad,2021
Paper,80,Recycling,Kolkata,2023
Plastic,87,Recycling,Bangalore,2021
Paper,130,Recycling,Kolkata,2021
Paper,82,Recycling,Kolkata,2023
Organic,189,Composting,Pune,2023
Organic,179,Composting,Ahmedabad,2023
Plastic,101,Recycling,Mumbai,2022
Plastic,97,Landfill,Bangalore,2023
Organic,118,Recycling,Luckhnow,2021
Plastic,81,Recycling,Kolkata,2023
Paper,185,Recycling,Kolkata,2022
Organic,196,Composting,Bhubaneshwar,2023
Organic,158,Composting,Bhubaneshwar,2023
Organic,177,Composting,Ahmedabad,2022
Plastic,89,Recycling,Bangalore,2023
Plastic,98,Recycling,Bangalore,2023
Organic,143,Composting,Pune,2022
Plastic,163,Recycling,Mumbai,2023
Paper,136,Landfill,Bhopal,2023
Paper,122,Landfill,Delhi,2022
Plastic,121,Landfill,Delhi,2021
Paper,89,Recycling,Luckhnow,2022
Paper,121,Recycling,Kolkata,2022
Plastic,105,Recycling,Bangalore,2021
Plastic,94,Recycling,Mumbai,2023
Paper,99,Recycling,Pune,2023
Paper,80,Landfill,Bhopal,2022
Paper,80,Recycling,Kolkata,2023
Plastic,99,Recycling,Bangalore,2023
Organic,162,Composting,Bhubaneshwar,2023
Organic,185,Composting,Pune,2023
Organic,177,Composting,Ahmedabad,2023
Paper,84,Recycling,Kolkata,2022
Plastic,87,Recycling,Delhi,2021
Plastic,105,Recycling,Bangalore,2023
Plastic,99,Recycling,Pune,2023
Plastic,109,Recycling,Delhi,2023
Paper,92,Recycling,Bhopal,2022
Paper,113,Landfill,Bhopal,2022
Organic,175,Composting,Bhubaneshwar,2023
Plastic,88,Recycling,Mumbai,2023
Plastic,90,Recycling,Mumbai,2023
Paper,80,Recycling,Luckhnow,2021
Paper,91,Landfill,Bhopal,2023
Paper,150,Landfill,Bhopal,2023
Plastic,106,Landfill,Delhi,2021
Organic,160,Composting,Ahmedabad,2023
Organic,173,Composting,Bhubaneshwar,2022
Paper,90,Recycling,Kolkata,2022
Organic,182,Composting,Pune,2023
Organic,163,Composting,Ahmedabad,2022
Organic,172,Composting,Bhubaneshwar,2023
Plastic,137,Recycling,Kolkata,2023
Paper,80,Recycling,Luckhnow,2023
Paper,111,Landfill,Bhopal,2021
Plastic,104,Recycling,Bangalore,2023
Organic,137,Composting,Bhubaneshwar,2023
Paper,80,Recycling,Bhopal,2023
Plastic,80,Recycling,Kolkata,2021
Paper,91,Landfill,Bhopal,2023
Paper,80,Recycling,Kolkata,2021
Plastic,85,Recycling,Luckhnow,2023
Plastic,81,Recycling,Bangalore,2023
Plastic,92,Recycling,Mumbai,2023
Plastic,80,Recycling,Luckhnow,2021
Plastic,80,Recycling,Mumbai,2023
Organic,175,Composting,Pune,2023
Organic,180,Composting,Ahmedabad,2022
Plastic,90,Recycling,Bangalore,2023
Organic,158,Composting,Ahmedabad,2023
Paper,143,Landfill,Kolkata,2022
Organic,199,Composting,Pune,2022
Plastic,115,Recycling,Delhi,2022
Paper,161,Recycling,Kolkata,2021
Organic,147,Composting,Bhubaneshwar,2022
Plastic,80,Recycling,Luckhnow,2021
Plastic,83,Landfill,Delhi,2021
Organic,185,Composting,Bhubaneshwar,2023
Paper,82,Recycling,Kolkata,2023
Organic,182,Composting,Pune,2023
Organic,195,Composting,Ahmedabad,2023
Paper,109,Composting,Kolkata,2022
Organic,154,Recycling,Bhubaneshwar,2023
Paper,164,Recycling,Bhopal,2022
Plastic,95,Recycling,Bangalore,2023
Paper,161,Recycling,Bhopal,2023
Organic,154,Composting,Bhubaneshwar,2022
Organic,153,Composting,Bangalore,2022
Paper,121,Recycling,Kolkata,2023
Organic,200,Composting,Pune,2023
Plastic,106,Recycling,Mumbai,2023
Organic,169,Composting,Pune,2023
Plastic,107,Landfill,Delhi,2021
Paper,98,Landfill,Delhi,2021
Organic,158,Composting,Ahmedabad,2022
Paper,103,Landfill,Bhopal,2022
Plastic,100,Landfill,Delhi,2023
Plastic,155,Recycling,Kolkata,2023
Paper,87,Landfill,Bhopal,2022
Paper,82,Landfill,Bhopal,2022
Organic,158,Composting,Bhubaneshwar,2023
Paper,111,Landfill,Delhi,2021
Organic,182,Composting,Pune,2023
Plastic,99,Recycling,Delhi,2021
Organic,147,Composting,Ahmedabad,2023
Plastic,98,Recycling,Bhopal,2021
Paper,92,Recycling,Kolkata,2023
Paper,152,Recycling,Kolkata,2023
Organic,164,Composting,Ahmedabad,2022
Plastic,86,Landfill,Delhi,2021
Paper,182,Landfill,Luckhnow,2023
Plastic,106,Recycling,Bangalore,2023
Plastic,105,Recycling,Bangalore,2023
Paper,92,Landfill,Bhopal,2022
Paper,80,Recycling,Luckhnow,2023
Paper,149,Recycling,Kolkata,2023
Paper,109,Recycling,Bhopal,2023
Plastic,102,Recycling,Bangalore,2023
Paper,88,Landfill,Bhopal,2022
Paper,90,Recycling,Kolkata,2023
Plastic,82,Recycling,Bangalore,2023
Paper,80,Recycling,Bangalore,2021
Paper,153,Recycling,Kolkata,2022
Organic,138,Composting,Ahmedabad,2023
Organic,192,Recycling,Pune,2023
Organic,175,Composting,Bhubaneshwar,2023
Plastic,104,Recycling,Mumbai,2023
Paper,80,Recycling,Bhopal,2023
Paper,80,Recycling,Luckhnow,2023
Plastic,143,Landfill,Bhopal,2021
Organic,169,Composting,Ahmedabad,2023
Plastic,159,Recycling,Delhi,2023
Plastic,118,Landfill,Delhi,2022
Organic,200,Composting,Pune,2022
Organic,195,Composting,Ahmedabad,2022
Paper,80,Recycling,Luckhnow,2023
Plastic,89,Recycling,Luckhnow,2023
Paper,84,Recycling,Bhopal,2022
Organic,176,Composting,Ahmedabad,2023
Organic,200,Composting,Pune,2022
Plastic,189,Recycling,Delhi,2023
Paper,155,Landfill,Pune,2022
Organic,178,Composting,Ahmedabad,2023
Plastic,91,Recycling,Delhi,2021
Paper,100,Landfill,Bhopal,2022
Paper,117,Recycling,Kolkata,2023
Organic,182,Composting,Ahmedabad,2023
Organic,193,Composting,Pune,2023
Paper,129,Recycling,Luckhnow,2023
Plastic,159,Landfill,Bangalore,2023
Paper,80,Recycling,Kolkata,2021
Paper,90,Recycling,Kolkata,2023
Plastic,90,Recycling,Mumbai,2023
Organic,163,Composting,Pune,2023
Plastic,97,Recycling,Delhi,2023
Organic,150,Composting,Ahmedabad,2023
Paper,84,Recycling,Luckhnow,2021
Organic,177,Composting,Ahmedabad,2023
Paper,95,Recycling,Mumbai,2023
Organic,157,Composting,Ahmedabad,2023
Organic,170,Composting,Ahmedabad,2022
Organic,200,Composting,Pune,2023
Organic,178,Composting,Kolkata,2023
Plastic,104,Recycling,Bangalore,2023
Paper,80,Recycling,Luckhnow,2023
Organic,149,Composting,Bhubaneshwar,2022
Organic,149,Composting,Bhubaneshwar,2023
Plastic,101,Recycling,Delhi,2023
Paper,87,Landfill,Bhopal,2022
Paper,92,Recycling,Kolkata,2022
Organic,181,Composting,Pune,2022
Organic,166,Recycling,Pune,2023
Plastic,97,Landfill,Delhi,2021
Plastic,99,Landfill,Delhi,2023
Paper,147,Recycling,Kolkata,2023
Plastic,97,Recycling,Bangalore,2023
Plastic,151,Recycling,Kolkata,2023
Plastic,93,Recycling,Luckhnow,2021
Organic,191,Composting,Pune,2022
Organic,168,Composting,Pune,2023
Plastic,105,Landfill,Delhi,2021
Plastic,80,Recycling,Mumbai,2023
Paper,81,Recycling,Bangalore,2023
Organic,200,Composting,Pune,2022
Plastic,93,Landfill,Delhi,2021
Organic,139,Composting,Ahmedabad,2023
Plastic,87,Recycling,Bhopal,2022
Plastic,114,Landfill,Delhi,2021
Plastic,95,Landfill,Delhi,2023
Organic,184,Composting,Pune,2023
Organic,175,Composting,Kolkata,2023
Paper,87,Landfill,Bhopal,2021
Organic,190,Composting,Bhubaneshwar,2022
Organic,200,Composting,Ahmedabad,2022
Organic,156,Composting,Ahmedabad,2023
Plastic,90,Recycling,Bhopal,2023
Plastic,97,Recycling,Bangalore,2021
Organic,190,Composting,Pune,2023
Plastic,182,Recycling,Bangalore,2023
Paper,104,Recycling,Kolkata,2023
Paper,126,Recycling,Bangalore,2021
Plastic,101,Landfill,Delhi,2021
Plastic,119,Recycling,Kolkata,2023
Paper,80,Recycling,Luckhnow,2022
Plastic,104,Landfill,Bhopal,2021
Paper,89,Recycling,Luckhnow,2023
Paper,80,Composting,Bangalore,2021
Paper,134,Landfill,Bhopal,2021
Paper,99,Recycling,Kolkata,2023
Organic,172,Composting,Bhubaneshwar,2023
Organic,185,Composting,Bhubaneshwar,2022
Plastic,93,Recycling,Luckhnow,2023
Plastic,87,Landfill,Bhopal,2022
Plastic,116,Landfill,Bangalore,2021
Organic,195,Composting,Ahmedabad,2022
Plastic,80,Recycling,Luckhnow,2021
Organic,182,Composting,Ahmedabad,2022
Organic,157,Composting,Bhubaneshwar,2023
Paper,98,Recycling,Kolkata,2021
Plastic,105,Recycling,Mumbai,2021
Organic,161,Composting,Delhi,2022
Paper,89,Recycling,Luckhnow,2021
Paper,106,Recycling,Bangalore,2022
Organic,155,Composting,Ahmedabad,2023
Plastic,104,Recycling,Mumbai,2022
Paper,89,Recycling,Bhopal,2022
Plastic,108,Recycling,Mumbai,2023
Organic,175,Composting,Kolkata,2023
Organic,126,Composting,Bhubaneshwar,2023
Plastic,96,Recycling,Delhi,2021
Paper,80,Recycling,Luckhnow,2023
Plastic,80,Recycling,Mumbai,2023
Organic,184,Composting,Pune,2023
Organic,185,Composting,Bhubaneshwar,2023
Organic,171,Composting,Bhubaneshwar,2023
Paper,80,Recycling,Luckhnow,2021
Organic,195,Composting,Ahmedabad,2023
Paper,171,Recycling,Kolkata,2023
Paper,80,Recycling,Luckhnow,2021
Organic,194,Composting,Ahmedabad,2023
Paper,182,Landfill,Bhopal,2022
Plastic,88,Recycling,Kolkata,2023
Organic,148,Composting,Pune,2023
Plastic,97,Recycling,Mumbai,2023
Organic,183,Composting,Bhubaneshwar,2023
Organic,190,Composting,Pune,2023
Organic,149,Composting,Kolkata,2023
Plastic,91,Recycling,Bangalore,2023
Plastic,101,Landfill,Delhi,2021
Organic,181,Composting,Ahmedabad,2023
Organic,178,Composting,Ahmedabad,2023
Organic,200,Composting,Kolkata,2023
Organic,134,Composting,Bhubaneshwar,2023
Organic,172,Composting,Bhubaneshwar,2022
Plastic,113,Recycling,Mumbai,2021
Plastic,91,Recycling,Delhi,2021
Organic,197,Composting,Ahmedabad,2023
Organic,166,Composting,Pune,2023
Paper,118,Landfill,Bhopal,2022
Plastic,95,Recycling,Mumbai,2023
Plastic,97,Recycling,Bangalore,2023
Plastic,80,Recycling,Bangalore,2021
Plastic,92,Landfill,Bhopal,2021
Plastic,96,Recycling,Mumbai,2021
Paper,80,Recycling,Luckhnow,2023
Plastic,97,Recycling,Kolkata,2023
Plastic,81,Recycling,Mumbai,2023
Paper,111,Landfill,Bhopal,2022
Plastic,84,Recycling,Bangalore,2021
Plastic,103,Recycling,Mumbai,2023
Organic,197,Composting,Ahmedabad,2023
Paper,136,Recycling,Kolkata,2023
Paper,90,Recycling,Bangalore,2022
Organic,169,Composting,Pune,2023
Plastic,121,Landfill,Mumbai,2022
Plastic,85,Recycling,Luckhnow,2023
Plastic,122,Landfill,Bhopal,2021
Paper,100,Landfill,Bhopal,2021
Paper,101,Recycling,Kolkata,2023
Plastic,145,Recycling,Kolkata,2023
Plastic,104,Landfill,Bhopal,2021
Plastic,87,Recycling,Mumbai,2023
Organic,166,Composting,Bhubaneshwar,2022
Organic,127,Composting,Bhubaneshwar,2023
Organic,180,Composting,Pune,2022
Plastic,85,Recycling,Bangalore,2023
Organic,172,Composting,Bhubaneshwar,2023
Plastic,115,Landfill,Bangalore,2023
Plastic,146,Recycling,Luckhnow,2023
Paper,136,Landfill,Delhi,2021
Organic,200,Composting,Pune,2023
Organic,145,Composting,Bhubaneshwar,2023
Paper,105,Recycling,Mumbai,2021
Organic,179,Composting,Pune,2022
Paper,88,Recycling,Kolkata,2022
Plastic,96,Recycling,Bangalore,2023
Organic,152,Composting,Bhubaneshwar,2023
Organic,185,Composting,Pune,2021
Plastic,80,Recycling,Bangalore,2021
Organic,187,Composting,Ahmedabad,2023
Paper,80,Recycling,Kolkata,2021
Plastic,117,Landfill,Delhi,2021
Organic,158,Composting,Pune,2023
Organic,159,Composting,Bhubaneshwar,2023
Plastic,95,Landfill,Delhi,2023
Organic,197,Composting,Bhubaneshwar,2022
Plastic,102,Recycling,Mumbai,2023
Organic,177,Composting,Ahmedabad,2022
Organic,143,Composting,Bhubaneshwar,2023
Organic,169,Composting,Pune,2022
Organic,137,Composting,Bhubaneshwar,2023
Plastic,88,Recycling,Bangalore,2021
Plastic,151,Landfill,Ahmedabad,2023
Organic,168,Composting,Ahmedabad,2022
Organic,171,Composting,Pune,2023
Plastic,97,Recycling,Mumbai,2023
Organic,200,Composting,Pune,2022
Paper,103,Landfill,Luckhnow,2021
Paper,149,Recycling,Kolkata,2022
Paper,86,Recycling,Bangalore,2021
Organic,200,Composting,Pune,2022
Paper,183,Recycling,Kolkata,2023
Organic,188,Composting,Pune,2023
Plastic,111,Recycling,Mumbai,2023
Organic,191,Composting,Pune,2023
Plastic,84,Recycling,Bangalore,2023
Plastic,88,Recycling,Bangalore,2023
Paper,143,Recycling,Kolkata,2023
Paper,80,Landfill,Bhopal,2022
Plastic,92,Landfill,Delhi,2023
Paper,80,Recycling,Mumbai,2023
Organic,188,Composting,Pune,2023
Plastic,88,Recycling,Mumbai,2021
Paper,147,Recycling,Kolkata,2023
Plastic,142,Recycling,Bangalore,2023
Plastic,81,Recycling,Bangalore,2023
Organic,187,Landfill,Bhubaneshwar,2022
Organic,176,Composting,Pune,2022
Paper,87,Recycling,Luckhnow,2021
Paper,86,Recycling,Luckhnow,2021
Plastic,87,Recycling,Luckhnow,2023
Paper,96,Recycling,Kolkata,2021
Plastic,84,Recycling,Bangalore,2023
Paper,102,Recycling,Bhopal,2023
Organic,194,Composting,Ahmedabad,2022
Plastic,95,Recycling,Bangalore,2021
Organic,192,Composting,Ahmedabad,2022
Organic,172,Landfill,Bhopal,2022
Paper,149,Recycling,Kolkata,2023
Paper,129,Recycling,Kolkata,2023
Paper,96,Recycling,Luckhnow,2022
Organic,165,Composting,Bhubaneshwar,2023
Plastic,182,Recycling,Kolkata,2021
Paper,126,Composting,Kolkata,2021
Paper,137,Recycling,Kolkata,2022
Organic,152,Recycling,Bangalore,2023
Organic,146,Composting,Bhubaneshwar,2023
Plastic,80,Recycling,Kolkata,2023
Organic,199,Composting,Ahmedabad,2023
Paper,80,Recycling,Bhopal,2022
Organic,172,Composting,Pune,2023
Organic,184,Composting,Bhubaneshwar,2023
Organic,200,Composting,Ahmedabad,2023
Paper,84,Recycling,Luckhnow,2023
Plastic,92,Recycling,Kolkata,2023
Organic,176,Composting,Pune,2022
Organic,186,Composting,Ahmedabad,2023
Plastic,87,Recycling,Mumbai,2023
Organic,150,Composting,Kolkata,2023
Plastic,111,Landfill,Mumbai,2022
Plastic,112,Recycling,Delhi,2023
Paper,84,Recycling,Bangalore,2023
Organic,196,Composting,Pune,2023
Paper,152,Recycling,Kolkata,2023
Plastic,92,Landfill,Bhopal,2021
Plastic,101,Recycling,Mumbai,2023
Paper,149,Landfill,Bhubaneshwar,2022
Plastic,148,Recycling,Kolkata,2023
Organic,157,Composting,Bhubaneshwar,2021
Plastic,97,Recycling,Mumbai,2023
Plastic,106,Recycling,Mumbai,2023
Plastic,108,Landfill,Delhi,2021
Organic,161,Composting,Pune,2023
Organic,152,Composting,Bhubaneshwar,2023
Paper,122,Composting,Bangalore,2023
Organic,200,Composting,Bhubaneshwar,2023
Organic,198,Composting,Pune,2022
Plastic,171,Recycling,Delhi,2023
Organic,155,Composting,Bhubaneshwar,2023
Organic,144,Composting,Bhubaneshwar,2022
Paper,123,Composting,Bhopal,2022
Organic,165,Composting,Ahmedabad,2023
Plastic,90,Recycling,Kolkata,2023
Organic,150,Composting,Ahmedabad,2023
Paper,80,Landfill,Bhopal,2023
Organic,156,Composting,Ahmedabad,2023
Plastic,108,Landfill,Delhi,2021
Plastic,102,Recycling,Mumbai,2023
Organic,200,Composting,Bhubaneshwar,2023
Plastic,107,Landfill,Delhi,2021
Plastic,95,Recycling,Bangalore,2023
Plastic,116,Landfill,Delhi,2022
Paper,123,Landfill,Delhi,2021
Paper,134,Composting,Bhopal,2022
Organic,151,Composting,Ahmedabad,2023
Organic,170,Composting,Ahmedabad,2023
Paper,150,Recycling,Luckhnow,2022
Organic,173,Composting,Ahmedabad,2022
Plastic,98,Recycling,Delhi,2022
Organic,130,Composting,Bhubaneshwar,2022
Plastic,104,Landfill,Delhi,2021
Organic,158,Composting,Pune,2023
Paper,84,Recycling,Luckhnow,2021
Organic,185,Composting,Pune,2023
Organic,176,Composting,Bhubaneshwar,2023
Plastic,101,Recycling,Bangalore,2022
Plastic,96,Recycling,Mumbai,2023
Paper,95,Recycling,Kolkata,2023
Organic,183,Composting,Pune,2022
Paper,83,Landfill,Luckhnow,2022
Paper,81,Recycling,Bhopal,2022
Plastic,107,Recycling,Delhi,2023
Paper,90,Recycling,Luckhnow,2023
Organic,160,Composting,Bhubaneshwar,2022
Plastic,168,Recycling,Bangalore,2023
Paper,91,Recycling,Kolkata,2023
Paper,82,Landfill,Mumbai,2022
Organic,186,Composting,Pune,2023
Plastic,163,Landfill,Bangalore,2021
Paper,80,Recycling,Bhopal,2023
Paper,97,Landfill,Bhopal,2022
Paper,134,Recycling,Mumbai,2023
Organic,156,Composting,Bhubaneshwar,2022
Paper,160,Recycling,Mumbai,2023
Plastic,90,Recycling,Mumbai,2023
Organic,187,Composting,Pune,2023
Organic,199,Composting,Bhubaneshwar,2023
Organic,161,Composting,Ahmedabad,2023
Plastic,109,Landfill,Delhi,2022
Organic,187,Composting,Ahmedabad,2023
Organic,173,Composting,Ahmedabad,2023
Paper,175,Landfill,Delhi,2021
Organic,164,Composting,Bhubaneshwar,2023
Plastic,117,Landfill,Delhi,2021
Plastic,88,Recycling,Mumbai,2023
Plastic,84,Recycling,Kolkata,2023
Plastic,100,Landfill,Delhi,2022
Plastic,116,Recycling,Luckhnow,2021
Plastic,164,Landfill,Delhi,2021
Organic,163,Composting,Ahmedabad,2023
Plastic,114,Landfill,Bhopal,2022
Paper,98,Recycling,Bhopal,2023
Organic,194,Composting,Ahmedabad,2023
Plastic,94,Recycling,Mumbai,2023
Paper,154,Recycling,Bhopal,2022
Organic,151,Composting,Bhubaneshwar,2023
Organic,183,Composting,Pune,2021
Organic,144,Composting,Pune,2023
Paper,81,Recycling,Luckhnow,2022
Organic,168,Composting,Ahmedabad,2023
Organic,169,Composting,Bhubaneshwar,2022
Plastic,99,Landfill,Delhi,2021
Plastic,90,Landfill,Delhi,2021
Paper,80,Recycling,Bangalore,2023
Organic,171,Composting,Pune,2023
Plastic,112,Landfill,Delhi,2021
Paper,94,Recycling,Bhopal,2023
Organic,167,Composting,Ahmedabad,2023
Plastic,113,Recycling,Bhopal,2022
Organic,168,Composting,Bhubaneshwar,2022
Plastic,88,Recycling,Luckhnow,2023
Paper,144,Recycling,Kolkata,2023
Paper,100,Landfill,Bhopal,2022
Organic,170,Composting,Ahmedabad,2023
Paper,80,Landfill,Bhopal,2021
Paper,147,Recycling,Kolkata,2022
Organic,176,Composting,Ahmedabad,2022
Organic,158,Composting,Bhubaneshwar,2023
Paper,80,Recycling,Luckhnow,2021
Paper,80,Landfill,Kolkata,2022
Paper,112,Recycling,Luckhnow,2023
Paper,139,Recycling,Luckhnow,2023
Organic,165,Composting,Pune,2023
Plastic,80,Recycling,Luckhnow,2023
Plastic,118,Landfill,Delhi,2021
Organic,155,Composting,Ahmedabad,2023
Organic,152,Composting,Bhubaneshwar,2023
Organic,159,Composting,Pune,2023
Plastic,149,Recycling,Mumbai,2023
Paper,98,Recycling,Kolkata,2021
Plastic,126,Landfill,Bhopal,2022
Organic,170,Composting,Pune,2023
Organic,147,Composting,Pune,2023
Paper,93,Landfill,Bhopal,2021
Paper,190,Recycling,Kolkata,2023
Organic,195,Composting,Ahmedabad,2023
Plastic,98,Landfill,Delhi,2021
Plastic,105,Recycling,Kolkata,2023
Paper,143,Landfill,Bhopal,2022
Plastic,96,Recycling,Bangalore,2023
Organic,162,Recycling,Bhubaneshwar,2023
Organic,158,Composting,Ahmedabad,2023
Paper,80,Recycling,Bangalore,2023
Plastic,143,Recycling,Bangalore,2023
Paper,93,Landfill,Bhopal,2021
Plastic,95,Landfill,Delhi,2021
Plastic,104,Recycling,Bangalore,2023
Plastic,200,Landfill,Bhopal,2021
Organic,140,Composting,Pune,2023
Plastic,99,Recycling,Mumbai,2023
Paper,80,Recycling,Luckhnow,2021
Plastic,96,Recycling,Bangalore,2021
Paper,90,Recycling,Luckhnow,2023
Organic,164,Composting,Ahmedabad,2023
Organic,160,Composting,Bhubaneshwar,2023
Plastic,110,Landfill,Delhi,2021
Organic,200,Composting,Pune,2022
Plastic,80,Recycling,Bangalore,2023
Organic,179,Composting,Ahmedabad,2023
Plastic,94,Landfill,Bhopal,2021
Organic,187,Composting,Ahmedabad,2023
Plastic,82,Landfill,Delhi,2023
Organic,180,Composting,Ahmedabad,2023
Organic,170,Composting,Ahmedabad,2023
Plastic,130,Recycling,Kolkata,2022
Plastic,86,Landfill,Bhopal,2023
Plastic,108,Landfill,Delhi,2023
Organic,194,Composting,Pune,2023
Paper,161,Recycling,Kolkata,2023
Plastic,80,Recycling,Bangalore,2023
Organic,150,Composting,Bhubaneshwar,2023
Organic,188,Composting,Kolkata,2023
Plastic,102,Recycling,Bangalore,2023
Organic,170,Composting,Pune,2023
Organic,151,Composting,Ahmedabad,2023
Paper,84,Landfill,Bhopal,2021
Paper,87,Recycling,Bhopal,2023
Plastic,106,Landfill,Delhi,2021
Plastic,104,Recycling,Delhi,2023
Organic,185,Composting,Pune,2022
Paper,99,Landfill,Bhopal,2022
Plastic,80,Landfill,Delhi,2021
Organic,185,Composting,Pune,2023
Organic,167,Composting,Bhubaneshwar,2023
Organic,159,Composting,Bhubaneshwar,2023
Plastic,109,Landfill,Bangalore,2022
Paper,90,Recycling,Bhopal,2023
Paper,111,Landfill,Kolkata,2021
Organic,197,Composting,Ahmedabad,2023
Paper,174,Recycling,Mumbai,2023
Paper,113,Landfill,Delhi,2021
Organic,159,Composting,Bhubaneshwar,2023
Paper,80,Recycling,Kolkata,2022
Plastic,96,Recycling,Mumbai,2023
Paper,134,Recycling,Mumbai,2021
Organic,200,Composting,Ahmedabad,2022
Paper,141,Recycling,Kolkata,2023
Organic,182,Composting,Pune,2023
Organic,190,Composting,Ahmedabad,2023
Organic,195,Composting,Bhubaneshwar,2023
Paper,80,Recycling,Bangalore,2023
Paper,80,Recycling,Bhopal,2021
Paper,95,Recycling,Luckhnow,2021
Plastic,94,Recycling,Luckhnow,2023
Paper,91,Recycling,Bangalore,2023
Organic,178,Composting,Ahmedabad,2022
Organic,147,Composting,Bhubaneshwar,2023
Plastic,100,Landfill,Delhi,2021
Organic,176,Composting,Ahmedabad,2023
Plastic,136,Landfill,Delhi,2023
Plastic,91,Recycling,Mumbai,2023
Plastic,108,Landfill,Luckhnow,2023
Plastic,86,Recycling,Bangalore,2023
Organic,183,Composting,Bhubaneshwar,2023
Plastic,80,Landfill,Delhi,2021
Plastic,80,Recycling,Luckhnow,2021
Organic,193,Composting,Pune,2022
Paper,80,Landfill,Bhopal,2022
Organic,142,Composting,Bhubaneshwar,2022
Organic,176,Composting,Ahmedabad,2023
Plastic,167,Landfill,Bangalore,2021
Organic,149,Recycling,Bangalore,2023
Organic,161,Composting,Bhubaneshwar,2023
Plastic,117,Landfill,Delhi,2021
Organic,194,Composting,Ahmedabad,2023
Plastic,99,Recycling,Delhi,2021
Organic,180,Composting,Ahmedabad,2023
Plastic,87,Recycling,Mumbai,2023
Paper,82,Recycling,Bangalore,2023
Plastic,130,Recycling,Kolkata,2023
Organic,185,Composting,Pune,2022
Organic,164,Composting,Pune,2022
Plastic,108,Landfill,Delhi,2021
Paper,87,Recycling,Kolkata,2023
Paper,98,Landfill,Delhi,2021
Plastic,133,Recycling,Bangalore,2023
Plastic,83,Recycling,Luckhnow,2021
Organic,171,Composting,Kolkata,2023
Plastic,91,Recycling,Luckhnow,2021
Paper,80,Recycling,Kolkata,2023
Organic,200,Composting,Pune,2022
Organic,192,Composting,Pune,2022
Organic,191,Composting,Ahmedabad,2023
Organic,180,Composting,Ahmedabad,2023
Paper,158,Landfill,Bhopal,2022
Paper,147,Recycling,Kolkata,2023
Paper,96,Landfill,Pune,2023
Plastic,87,Recycling,Mumbai,2023
