Type of waste,Quantity (kg),Disposal method,Geographic location,Time period
Organic,261,Recycling,Ahmedabad,2020
Plastic,199,Composting,Delhi,2020
Organic,79,Composting,Ghaziabad,2023
Plastic,141,Landfill,Faridabad,2021
Organic,291,Recycling,Meerut,2021
Plastic,56,Composting,Ludhiana,2020
Paper,169,Composting,Varanasi,2020
Organic,135,Recycling,Kolkata,2020
Plastic,82,Composting,Meerut,2021
Organic,179,Recycling,Bangalore,2021
Paper,187,Landfill,Kanpur,2020
Organic,108,Recycling,Visakhapatnam,2020
Organic,203,Recycling,Pimpri-Chinchwad,2021
Paper,163,Landfill,Indore,2024
Plastic,214,Composting,Jaipur,2020
Plastic,57,Recycling,Ludhiana,2022
Plastic,81,Composting,Pimpri-Chinchwad,2021
Plastic,120,Recycling,Jaipur,2022
Plastic,63,Composting,Chennai,2023
Plastic,161,Composting,Ghaziabad,2020
Paper,117,Recycling,Ahmedabad,2023
Organic,146,Recycling,Surat,2020
Organic,223,Landfill,Kanpur,2020
Plastic,175,Composting,Kanpur,2023
Plastic,185,Landfill,Indore,2022
Plastic,216,Composting,Visakhapatnam,2020
Plastic,100,Composting,Jaipur,2023
Plastic,144,Recycling,Visakhapatnam,2022
Paper,251,Composting,Chennai,2022
Plastic,108,Composting,Indore,2020
Organic,52,Landfill,Chennai,2021
Plastic,220,Recycling,Bhopal,2020
Organic,96,Recycling,Delhi,2021
Organic,148,Recycling,Surat,2020
Organic,219,Recycling,Ahmedabad,2022
Plastic,130,Composting,Rajkot,2022
Organic,79,Recycling,Thane,2023
Organic,72,Composting,Nashik,2022
Organic,132,Recycling,Kanpur,2020
Plastic,52,Recycling,Lucknow,2020
Organic,256,Composting,Vasai-Virar,2020
Paper,110,Composting,Vasai-Virar,2020
Plastic,138,Recycling,Ludhiana,2021
Plastic,113,Composting,Thane,2020
Plastic,199,Recycling,Nashik,2022
Plastic,118,Recycling,Nagpur,2021
Plastic,166,Composting,Indore,2022
Organic,74,Composting,Indore,2020
Paper,101,Composting,Agra,2020
Paper,79,Recycling,Pimpri-Chinchwad,2020
Paper,115,Composting,Hyderabad,2020
Organic,85,Recycling,Pimpri-Chinchwad,2020
Paper,172,Recycling,Ghaziabad,2020
Plastic,209,Landfill,Bhopal,2021
Plastic,149,Recycling,Rajkot,2020
Organic,256,Recycling,Indore,2020
Paper,131,Recycling,Nagpur,2023
Organic,262,Recycling,Ahmedabad,2020
Organic,199,Recycling,Kalyan-Dombivli,2023
Paper,129,Recycling,Thane,2023
Paper,231,Recycling,Pimpri-Chinchwad,2023
Plastic,123,Landfill,Ludhiana,2020
Plastic,52,Landfill,Vadodara,2021
Plastic,82,Landfill,Vadodara,2024
Plastic,213,Composting,Delhi,2023
Paper,217,Recycling,Mumbai,2021
Organic,172,Composting,Vasai-Virar,2020
Organic,97,Recycling,Rajkot,2020
Plastic,55,Composting,Ahmedabad,2022
Plastic,75,Composting,Kolkata,2022
Organic,87,Composting,Patna,2020
Organic,203,Landfill,Bangalore,2020
Paper,204,Recycling,Surat,2022
Plastic,225,Composting,Nagpur,2020
Organic,199,Recycling,Agra,2020
Organic,97,Recycling,Rajkot,2024
Plastic,197,Composting,Pune,2021
Organic,220,Composting,Pimpri-Chinchwad,2021
Paper,120,Recycling,Kanpur,2021
Paper,149,Composting,Pune,2022
Plastic,52,Landfill,Ahmedabad,2022
Organic,136,Recycling,Hyderabad,2020
Paper,102,Recycling,Kanpur,2021
Organic,179,Recycling,Ahmedabad,2023
Organic,269,Recycling,Faridabad,2020
Plastic,94,Composting,Pune,2023
Organic,69,Recycling,Chennai,2021
Organic,288,Recycling,Visakhapatnam,2020
Plastic,233,Recycling,Vasai-Virar,2022
Paper,249,Composting,Indore,2022
Plastic,150,Composting,Pune,2020
Plastic,87,Composting,Jaipur,2022
Organic,217,Landfill,Meerut,2020
Plastic,253,Composting,Pune,2021
Paper,55,Recycling,Faridabad,2020
Plastic,291,Recycling,Nashik,2022
Plastic,213,Landfill,Meerut,2024
Plastic,109,Recycling,Pune,2020
Plastic,60,Recycling,Nashik,2020
Organic,208,Recycling,Ludhiana,2023
Organic,222,Recycling,Faridabad,2021
Organic,195,Recycling,Nagpur,2020
Plastic,52,Landfill,Rajkot,2024
Organic,277,Recycling,Vadodara,2021
Organic,87,Recycling,Bhopal,2020
Paper,202,Recycling,Thane,2020
Plastic,258,Recycling,Agra,2021
Organic,255,Composting,Ludhiana,2022
Paper,113,Recycling,Ahmedabad,2020
Organic,262,Recycling,Kanpur,2022
Organic,81,Recycling,Kalyan-Dombivli,2020
Plastic,123,Composting,Pune,2021
Plastic,150,Composting,Hyderabad,2022
Organic,227,Recycling,Kalyan-Dombivli,2022
Plastic,291,Recycling,Kalyan-Dombivli,2020
Organic,73,Composting,Nashik,2020
Plastic,52,Composting,Bangalore,2020
Plastic,291,Recycling,Bangalore,2021
Organic,222,Recycling,Bhopal,2021
Plastic,141,Recycling,Surat,2020
Paper,217,Composting,Agra,2021
Plastic,187,Composting,Agra,2023
Plastic,101,Composting,Patna,2020
Organic,233,Recycling,Thane,2020
Plastic,183,Recycling,Kalyan-Dombivli,2020
Paper,256,Recycling,Vadodara,2020
Organic,127,Landfill,Meerut,2020
Plastic,131,Composting,Faridabad,2020
Organic,68,Recycling,Thane,2020
Plastic,198,Recycling,Ahmedabad,2022
Plastic,188,Composting,Jaipur,2021
Plastic,176,Recycling,Jaipur,2023
Plastic,80,Composting,Hyderabad,2020
Organic,143,Recycling,Kalyan-Dombivli,2020
Organic,175,Recycling,Surat,2020
Plastic,277,Composting,Visakhapatnam,2021
Plastic,114,Recycling,Vasai-Virar,2022
Organic,125,Recycling,Kanpur,2022
Plastic,230,Recycling,Bangalore,2021
Paper,151,Composting,Delhi,2022
Organic,189,Landfill,Mumbai,2021
Plastic,251,Composting,Ghaziabad,2021
Organic,265,Composting,Delhi,2020
Plastic,163,Composting,Jaipur,2022
Plastic,170,Composting,Rajkot,2021
Paper,117,Recycling,Bangalore,2020
Plastic,143,Composting,Visakhapatnam,2022
Plastic,243,Landfill,Rajkot,2020
Plastic,221,Composting,Thane,2021
Plastic,79,Recycling,Rajkot,2022
Organic,82,Recycling,Kalyan-Dombivli,2022
Paper,141,Composting,Bhopal,2023
Plastic,212,Composting,Visakhapatnam,2021
Plastic,178,Recycling,Kolkata,2022
Organic,52,Landfill,Meerut,2020
Organic,228,Recycling,Nagpur,2020
Plastic,52,Composting,Patna,2020
Paper,83,Composting,Delhi,2020
Plastic,109,Recycling,Visakhapatnam,2020
Plastic,52,Landfill,Pune,2024
Plastic,206,Landfill,Thane,2021
Plastic,110,Landfill,Thane,2020
Organic,107,Recycling,Varanasi,2020
Organic,175,Recycling,Bhopal,2021
Organic,234,Recycling,Kalyan-Dombivli,2020
Paper,113,Composting,Lucknow,2020
Organic,81,Landfill,Hyderabad,2021
Plastic,154,Composting,Mumbai,2020
Plastic,250,Recycling,Patna,2021
Organic,259,Composting,Patna,2021
Paper,74,Recycling,Bhopal,2020
Plastic,229,Composting,Meerut,2021
Plastic,180,Composting,Chennai,2020
Organic,181,Composting,Ahmedabad,2023
Paper,241,Composting,Mumbai,2020
Organic,145,Recycling,Bangalore,2021
Organic,92,Recycling,Pimpri-Chinchwad,2020
Plastic,196,Composting,Thane,2022
Paper,85,Landfill,Kalyan-Dombivli,2023
Paper,278,Composting,Delhi,2021
Organic,204,Recycling,Kanpur,2022
Plastic,227,Recycling,Bangalore,2020
Paper,119,Recycling,Rajkot,2020
Organic,240,Recycling,Jaipur,2023
Organic,207,Recycling,Kalyan-Dombivli,2022
Plastic,188,Recycling,Delhi,2020
Organic,139,Composting,Vasai-Virar,2020
Organic,232,Recycling,Jaipur,2020
Organic,52,Composting,Ludhiana,2020
Organic,199,Recycling,Pimpri-Chinchwad,2022
Organic,210,Recycling,Thane,2021
Paper,280,Recycling,Hyderabad,2022
Plastic,186,Composting,Nashik,2022
Plastic,226,Recycling,Visakhapatnam,2022
Organic,186,Composting,Meerut,2023
Plastic,193,Composting,Jaipur,2024
Plastic,212,Composting,Hyderabad,2023
Organic,151,Recycling,Nagpur,2020
Paper,207,Composting,Thane,2020
Organic,201,Recycling,Meerut,2022
Paper,159,Composting,Meerut,2024
Plastic,173,Recycling,Agra,2024
Plastic,185,Recycling,Chennai,2020
Organic,190,Recycling,Chennai,2020
Plastic,64,Composting,Chennai,2024
Organic,194,Landfill,Kolkata,2021
Paper,133,Composting,Kanpur,2020
Organic,237,Recycling,Ghaziabad,2020
Paper,148,Landfill,Bhopal,2021
Plastic,137,Recycling,Hyderabad,2022
Organic,94,Recycling,Ahmedabad,2020
Paper,68,Composting,Ludhiana,2020
Organic,121,Recycling,Pimpri-Chinchwad,2022
Organic,141,Composting,Jaipur,2022
Organic,52,Landfill,Nagpur,2022
Organic,178,Composting,Jaipur,2020
Plastic,233,Composting,Ghaziabad,2020
Organic,105,Recycling,Patna,2020
Plastic,52,Composting,Chennai,2021
Plastic,57,Recycling,Jaipur,2020
Organic,52,Landfill,Rajkot,2021
Plastic,98,Recycling,Rajkot,2021
Plastic,149,Recycling,Visakhapatnam,2020
Organic,244,Recycling,Meerut,2020
Organic,148,Landfill,Lucknow,2020
Paper,70,Recycling,Surat,2020
Plastic,184,Composting,Kalyan-Dombivli,2020
Plastic,104,Composting,Nagpur,2021
Paper,145,Composting,Visakhapatnam,2023
Paper,150,Landfill,Ghaziabad,2024
Organic,57,Composting,Varanasi,2020
Plastic,184,Composting,Pune,2020
Organic,147,Composting,Kalyan-Dombivli,2023
Organic,176,Composting,Jaipur,2021
Organic,217,Recycling,Delhi,2020
Paper,280,Composting,Pune,2021
Plastic,87,Composting,Varanasi,2020
Organic,262,Recycling,Nagpur,2020
Plastic,108,Composting,Visakhapatnam,2022
Plastic,132,Composting,Pimpri-Chinchwad,2024
Paper,109,Recycling,Thane,2020
Organic,99,Recycling,Delhi,2020
Paper,166,Composting,Kolkata,2020
Organic,189,Recycling,Lucknow,2023
Organic,152,Composting,Pune,2023
Organic,213,Composting,Meerut,2022
Plastic,199,Composting,Ludhiana,2020
Plastic,207,Landfill,Kanpur,2023
Plastic,208,Landfill,Meerut,2023
Plastic,90,Composting,Chennai,2020
Plastic,147,Composting,Lucknow,2022
Plastic,204,Composting,Kolkata,2020
Paper,98,Composting,Thane,2020
Organic,202,Recycling,Kanpur,2020
Plastic,141,Composting,Bangalore,2024
Plastic,91,Composting,Chennai,2022
Organic,160,Landfill,Kolkata,2024
Plastic,52,Landfill,Jaipur,2020
Organic,52,Recycling,Ludhiana,2020
Organic,181,Landfill,Nashik,2024
Plastic,52,Landfill,Pune,2021
Plastic,89,Landfill,Ahmedabad,2022
Paper,193,Recycling,Agra,2024
Organic,229,Recycling,Delhi,2022
Paper,136,Composting,Hyderabad,2022
Organic,132,Recycling,Visakhapatnam,2023
Plastic,127,Recycling,Rajkot,2022
Paper,108,Composting,Kolkata,2022
Organic,130,Composting,Varanasi,2020
Paper,135,Composting,Thane,2022
Organic,146,Composting,Patna,2020
Plastic,119,Composting,Jaipur,2023
Organic,52,Composting,Lucknow,2020
Organic,282,Recycling,Rajkot,2022
Paper,236,Recycling,Lucknow,2023
Paper,129,Composting,Vasai-Virar,2020
Plastic,81,Recycling,Agra,2024
Plastic,201,Landfill,Lucknow,2022
Organic,52,Landfill,Pune,2022
Plastic,88,Recycling,Ludhiana,2022
Paper,52,Composting,Hyderabad,2024
Paper,149,Composting,Visakhapatnam,2020
Organic,262,Recycling,Agra,2020
Plastic,146,Recycling,Ahmedabad,2020
Organic,93,Recycling,Chennai,2023
Organic,207,Recycling,Bhopal,2021
Plastic,186,Composting,Nagpur,2020
Paper,74,Landfill,Meerut,2024
Paper,172,Recycling,Ghaziabad,2021
Paper,260,Recycling,Ahmedabad,2023
Plastic,256,Composting,Hyderabad,2020
Organic,101,Recycling,Bhopal,2020
Plastic,212,Landfill,Varanasi,2020
Paper,159,Recycling,Nagpur,2020
Organic,231,Landfill,Nagpur,2024
Plastic,52,Composting,Varanasi,2022
Plastic,145,Landfill,Ludhiana,2024
Organic,190,Recycling,Vadodara,2023
Organic,62,Recycling,Ludhiana,2020
Organic,160,Recycling,Ludhiana,2022
Paper,84,Composting,Kalyan-Dombivli,2020
Plastic,248,Recycling,Bangalore,2020
Paper,224,Landfill,Vasai-Virar,2024
Plastic,285,Composting,Lucknow,2023
Organic,199,Composting,Hyderabad,2020
Organic,52,Landfill,Nagpur,2020
Organic,255,Recycling,Surat,2022
Organic,101,Recycling,Nagpur,2021
Plastic,52,Composting,Mumbai,2020
Plastic,93,Composting,Bhopal,2021
Organic,87,Composting,Ahmedabad,2020
Paper,113,Composting,Vasai-Virar,2020
Organic,100,Recycling,Nagpur,2020
Organic,214,Recycling,Rajkot,2020
Plastic,223,Composting,Meerut,2020
Plastic,196,Composting,Delhi,2022
Paper,264,Composting,Nashik,2023
Paper,215,Composting,Lucknow,2021
Plastic,274,Composting,Kolkata,2020
Plastic,81,Composting,Hyderabad,2020
Plastic,154,Recycling,Kalyan-Dombivli,2021
Plastic,101,Composting,Vasai-Virar,2020
Organic,95,Recycling,Surat,2020
Organic,218,Recycling,Agra,2020
Paper,110,Recycling,Chennai,2024
Plastic,160,Landfill,Jaipur,2023
Organic,243,Recycling,Thane,2020
Paper,96,Recycling,Vasai-Virar,2020
Organic,59,Recycling,Pimpri-Chinchwad,2020
Plastic,105,Composting,Visakhapatnam,2020
Organic,98,Composting,Mumbai,2020
Paper,238,Composting,Chennai,2021
Plastic,169,Composting,Meerut,2021
Organic,52,Composting,Nagpur,2020
Organic,87,Recycling,Faridabad,2020
Organic,105,Recycling,Kalyan-Dombivli,2020
Organic,99,Recycling,Pimpri-Chinchwad,2020
Organic,112,Recycling,Faridabad,2020
Paper,152,Composting,Nagpur,2020
Plastic,102,Composting,Vasai-Virar,2021
Plastic,62,Recycling,Pimpri-Chinchwad,2024
Organic,224,Recycling,Varanasi,2020
Plastic,243,Recycling,Faridabad,2020
Organic,217,Recycling,Surat,2021
Organic,103,Composting,Vasai-Virar,2020
Organic,192,Landfill,Varanasi,2020
Plastic,52,Composting,Kanpur,2020
Plastic,217,Composting,Jaipur,2022
Plastic,97,Recycling,Pimpri-Chinchwad,2020
Plastic,68,Composting,Kolkata,2022
Plastic,79,Composting,Visakhapatnam,2020
Plastic,110,Composting,Pune,2020
Organic,180,Recycling,Varanasi,2020
Plastic,112,Composting,Pune,2020
Plastic,157,Recycling,Nashik,2021
Organic,143,Recycling,Kalyan-Dombivli,2020
Paper,74,Recycling,Ludhiana,2024
Paper,112,Recycling,Nagpur,2023
Organic,150,Composting,Patna,2022
Organic,254,Composting,Kanpur,2020
Organic,121,Landfill,Patna,2024
Plastic,111,Recycling,Surat,2020
Plastic,231,Recycling,Ghaziabad,2021
Plastic,148,Recycling,Surat,2022
Plastic,190,Recycling,Indore,2020
Plastic,125,Composting,Bangalore,2020
Plastic,89,Landfill,Bangalore,2023
Organic,52,Recycling,Kanpur,2021
Organic,127,Landfill,Delhi,2020
Organic,196,Landfill,Visakhapatnam,2023
Organic,281,Recycling,Agra,2023
Organic,257,Composting,Jaipur,2020
Plastic,195,Landfill,Ghaziabad,2020
Organic,195,Composting,Vasai-Virar,2022
Plastic,52,Recycling,Patna,2021
Plastic,194,Composting,Hyderabad,2022
Organic,252,Composting,Ludhiana,2020
Organic,217,Recycling,Varanasi,2023
Plastic,249,Composting,Indore,2022
Plastic,52,Composting,Chennai,2020
Organic,106,Recycling,Jaipur,2020
Paper,82,Recycling,Chennai,2020
Paper,278,Composting,Lucknow,2020
Plastic,210,Composting,Nagpur,2020
Plastic,98,Landfill,Patna,2023
Plastic,198,Composting,Meerut,2020
Plastic,196,Recycling,Hyderabad,2021
Plastic,52,Landfill,Pimpri-Chinchwad,2021
Paper,152,Recycling,Mumbai,2020
Organic,151,Recycling,Kalyan-Dombivli,2020
Organic,206,Recycling,Kanpur,2020
Plastic,228,Composting,Jaipur,2021
Paper,186,Composting,Varanasi,2023
Paper,102,Composting,Vasai-Virar,2024
Plastic,187,Composting,Meerut,2021
Plastic,131,Landfill,Mumbai,2021
Organic,178,Recycling,Varanasi,2020
Plastic,195,Landfill,Ludhiana,2020
Plastic,100,Composting,Nagpur,2023
Organic,208,Composting,Meerut,2020
Paper,101,Recycling,Ahmedabad,2020
Organic,192,Recycling,Nashik,2020
Paper,263,Recycling,Agra,2020
Organic,52,Recycling,Kalyan-Dombivli,2023
Organic,129,Recycling,Ludhiana,2021
Plastic,204,Composting,Kanpur,2020
Organic,157,Landfill,Delhi,2024
Paper,184,Recycling,Kolkata,2022
Organic,216,Recycling,Vasai-Virar,2021
Organic,126,Recycling,Ahmedabad,2022
Plastic,210,Landfill,Jaipur,2020
Organic,52,Recycling,Chennai,2020
Organic,167,Recycling,Nashik,2020
Plastic,135,Landfill,Visakhapatnam,2023
Organic,121,Recycling,Indore,2023
Organic,52,Landfill,Ahmedabad,2022
Plastic,169,Recycling,Visakhapatnam,2023
Plastic,54,Landfill,Ludhiana,2023
Paper,52,Recycling,Pune,2021
Organic,96,Recycling,Indore,2020
Paper,207,Composting,Delhi,2022
Organic,82,Composting,Meerut,2022
Organic,171,Recycling,Kalyan-Dombivli,2020
Plastic,105,Landfill,Meerut,2021
Organic,153,Recycling,Meerut,2020
Organic,121,Recycling,Vadodara,2020
Organic,161,Recycling,Rajkot,2022
Paper,58,Composting,Patna,2022
Paper,117,Composting,Bangalore,2021
Paper,154,Recycling,Mumbai,2020
Plastic,142,Composting,Chennai,2021
Organic,156,Composting,Chennai,2023
Organic,208,Landfill,Meerut,2022
Paper,247,Composting,Nagpur,2020
Plastic,244,Recycling,Visakhapatnam,2022
Organic,229,Landfill,Visakhapatnam,2020
Plastic,154,Recycling,Faridabad,2020
Paper,100,Recycling,Bangalore,2020
Paper,142,Composting,Vasai-Virar,2020
Organic,238,Recycling,Pimpri-Chinchwad,2020
Plastic,82,Landfill,Pune,2021
Organic,261,Composting,Visakhapatnam,2020
Organic,108,Composting,Delhi,2021
Organic,275,Recycling,Lucknow,2021
Organic,117,Recycling,Rajkot,2020
Organic,135,Composting,Nagpur,2021
Organic,224,Composting,Surat,2022
Organic,141,Composting,Vasai-Virar,2021
Paper,187,Composting,Vadodara,2020
Plastic,100,Recycling,Nagpur,2023
Paper,118,Composting,Ludhiana,2023
Organic,199,Recycling,Vadodara,2023
Plastic,144,Recycling,Visakhapatnam,2020
Paper,144,Recycling,Bangalore,2022
Organic,254,Recycling,Rajkot,2022
Plastic,254,Composting,Chennai,2021
Organic,218,Recycling,Bangalore,2020
Plastic,95,Landfill,Visakhapatnam,2022
Plastic,119,Composting,Rajkot,2023
Organic,125,Composting,Bhopal,2020
Organic,153,Recycling,Bhopal,2022
Plastic,75,Recycling,Vasai-Virar,2020
Organic,229,Landfill,Vadodara,2023
Organic,52,Landfill,Indore,2022
Organic,52,Landfill,Meerut,2024
Organic,166,Recycling,Nagpur,2023
Organic,234,Recycling,Ludhiana,2020
Paper,173,Recycling,Bangalore,2020
Organic,190,Landfill,Indore,2020
Organic,286,Recycling,Kalyan-Dombivli,2023
Plastic,110,Composting,Pune,2021
Organic,184,Recycling,Kalyan-Dombivli,2022
Organic,218,Recycling,Kolkata,2020
Organic,218,Composting,Pune,2020
Organic,141,Recycling,Kolkata,2020
Paper,62,Recycling,Delhi,2022
Organic,157,Composting,Meerut,2021
Plastic,213,Recycling,Thane,2020
Organic,108,Recycling,Mumbai,2020
Paper,101,Composting,Ahmedabad,2020
Paper,206,Composting,Nashik,2020
Plastic,108,Composting,Bangalore,2021
Paper,227,Composting,Rajkot,2022
Plastic,206,Recycling,Jaipur,2024
Plastic,121,Composting,Visakhapatnam,2020
Organic,142,Landfill,Pimpri-Chinchwad,2021
Organic,75,Recycling,Lucknow,2020
Plastic,144,Recycling,Mumbai,2020
Organic,199,Recycling,Hyderabad,2020
Organic,145,Landfill,Surat,2020
Paper,233,Composting,Hyderabad,2022
Organic,217,Recycling,Bhopal,2022
Paper,134,Recycling,Vasai-Virar,2020
Plastic,208,Recycling,Vasai-Virar,2022
Organic,244,Recycling,Pimpri-Chinchwad,2020
Organic,180,Recycling,Indore,2021
Plastic,81,Landfill,Chennai,2022
Plastic,261,Composting,Thane,2021
Organic,149,Composting,Nagpur,2023
Organic,191,Recycling,Bhopal,2020
Organic,64,Recycling,Nashik,2022
Paper,221,Composting,Nagpur,2020
Paper,179,Composting,Hyderabad,2022
Organic,162,Recycling,Kalyan-Dombivli,2020
Plastic,81,Recycling,Indore,2023
Plastic,52,Composting,Surat,2023
Plastic,122,Composting,Meerut,2021
Plastic,208,Recycling,Ghaziabad,2022
Organic,240,Composting,Pimpri-Chinchwad,2022
Organic,232,Recycling,Chennai,2020
Organic,52,Recycling,Chennai,2020
Paper,177,Composting,Mumbai,2020
Organic,144,Recycling,Hyderabad,2020
Organic,58,Recycling,Vasai-Virar,2020
Plastic,163,Composting,Jaipur,2020
Paper,215,Composting,Mumbai,2020
Plastic,63,Composting,Varanasi,2020
Plastic,52,Composting,Bangalore,2022
Plastic,185,Composting,Ludhiana,2022
Paper,121,Composting,Ahmedabad,2023
Plastic,141,Composting,Pune,2023
Plastic,185,Composting,Rajkot,2020
Plastic,153,Composting,Ludhiana,2020
Plastic,192,Composting,Ahmedabad,2021
Organic,118,Landfill,Pune,2022
Organic,235,Recycling,Pimpri-Chinchwad,2021
Plastic,259,Landfill,Kalyan-Dombivli,2023
Plastic,122,Landfill,Delhi,2020
Organic,98,Recycling,Patna,2020
Plastic,60,Recycling,Lucknow,2020
Paper,220,Composting,Thane,2020
Plastic,155,Recycling,Jaipur,2022
Organic,52,Landfill,Rajkot,2022
Organic,214,Recycling,Ahmedabad,2022
Paper,249,Composting,Ludhiana,2022
Organic,190,Recycling,Nagpur,2020
Organic,52,Recycling,Pimpri-Chinchwad,2021
Organic,142,Recycling,Kalyan-Dombivli,2020
Plastic,205,Composting,Delhi,2020
Paper,124,Composting,Meerut,2020
Paper,52,Composting,Mumbai,2020
Plastic,204,Composting,Nagpur,2021
Plastic,69,Composting,Varanasi,2020
Organic,272,Recycling,Kalyan-Dombivli,2021
Plastic,57,Composting,Pune,2020
Organic,132,Composting,Vasai-Virar,2022
Organic,76,Landfill,Agra,2020
Paper,284,Recycling,Rajkot,2021
Paper,162,Recycling,Vasai-Virar,2020
Plastic,176,Composting,Meerut,2022
Paper,74,Composting,Thane,2020
Plastic,157,Composting,Pune,2020
Plastic,164,Recycling,Meerut,2022
Paper,84,Recycling,Rajkot,2022
Paper,262,Composting,Pimpri-Chinchwad,2022
Plastic,66,Composting,Visakhapatnam,2020
Plastic,184,Composting,Meerut,2022
Plastic,220,Composting,Mumbai,2020
Plastic,158,Composting,Lucknow,2021
Organic,80,Composting,Pune,2020
Organic,227,Recycling,Ludhiana,2020
Plastic,109,Recycling,Surat,2020
Organic,258,Recycling,Agra,2020
Plastic,219,Composting,Vasai-Virar,2021
Paper,63,Recycling,Nagpur,2024
Paper,144,Composting,Chennai,2020
Paper,154,Landfill,Chennai,2021
Plastic,111,Recycling,Lucknow,2021
Organic,247,Composting,Meerut,2020
Organic,227,Recycling,Nagpur,2020
Organic,216,Composting,Vadodara,2020
Paper,162,Recycling,Jaipur,2022
Organic,96,Recycling,Chennai,2022
Paper,280,Composting,Nagpur,2020
Organic,73,Composting,Vasai-Virar,2020
Paper,291,Composting,Kanpur,2020
Paper,276,Landfill,Nashik,2021
Paper,154,Landfill,Meerut,2022
Paper,247,Composting,Lucknow,2020
Plastic,245,Recycling,Varanasi,2021
Organic,134,Recycling,Ahmedabad,2021
Organic,205,Composting,Pune,2020
Plastic,192,Recycling,Patna,2021
Organic,232,Recycling,Lucknow,2020
Organic,270,Recycling,Delhi,2021
Paper,52,Composting,Patna,2021
Organic,239,Recycling,Visakhapatnam,2020
Paper,69,Composting,Thane,2023
Plastic,229,Composting,Delhi,2021
Plastic,142,Composting,Varanasi,2021
Plastic,187,Composting,Kalyan-Dombivli,2021
Plastic,126,Composting,Pimpri-Chinchwad,2021
Organic,102,Composting,Kolkata,2022
Organic,190,Recycling,Lucknow,2022
Paper,82,Recycling,Surat,2020
Organic,127,Recycling,Ghaziabad,2020
Paper,64,Landfill,Meerut,2021
Organic,174,Recycling,Ludhiana,2021
Plastic,71,Landfill,Rajkot,2021
Plastic,193,Composting,Meerut,2020
Organic,220,Composting,Pimpri-Chinchwad,2023
Organic,250,Recycling,Ludhiana,2021
Organic,52,Recycling,Ahmedabad,2020
Organic,120,Landfill,Kolkata,2022
Paper,272,Composting,Kolkata,2020
Paper,243,Composting,Jaipur,2022
Plastic,52,Composting,Nagpur,2022
Organic,109,Recycling,Kanpur,2020
Paper,168,Composting,Jaipur,2021
Paper,242,Composting,Delhi,2020
Plastic,198,Landfill,Surat,2021
Organic,96,Recycling,Nagpur,2020
Plastic,140,Composting,Pune,2022
Organic,131,Composting,Visakhapatnam,2024
Plastic,169,Recycling,Chennai,2021
Plastic,132,Composting,Jaipur,2020
Organic,108,Composting,Varanasi,2021
Paper,60,Recycling,Agra,2020
Paper,191,Composting,Lucknow,2021
Paper,213,Recycling,Bangalore,2021
Paper,52,Composting,Jaipur,2021
Paper,117,Composting,Nagpur,2020
Paper,228,Composting,Jaipur,2021
Plastic,217,Recycling,Jaipur,2021
Paper,126,Recycling,Hyderabad,2023
Paper,182,Recycling,Kalyan-Dombivli,2020
Organic,247,Recycling,Ahmedabad,2021
Paper,216,Composting,Delhi,2020
Plastic,115,Composting,Pimpri-Chinchwad,2021
Paper,166,Recycling,Ludhiana,2020
Plastic,100,Landfill,Hyderabad,2024
Plastic,113,Landfill,Rajkot,2024
Organic,269,Recycling,Ghaziabad,2020
Plastic,191,Recycling,Visakhapatnam,2023
Organic,187,Recycling,Varanasi,2022
Organic,134,Composting,Kalyan-Dombivli,2020
Organic,162,Composting,Pune,2020
Paper,137,Composting,Vasai-Virar,2022
Organic,161,Composting,Rajkot,2020
Paper,129,Composting,Lucknow,2022
Organic,75,Recycling,Ghaziabad,2020
Paper,246,Recycling,Bangalore,2022
Organic,65,Landfill,Rajkot,2021
Organic,135,Recycling,Faridabad,2020
Plastic,227,Recycling,Kanpur,2020
Plastic,204,Composting,Pimpri-Chinchwad,2020
Organic,192,Recycling,Visakhapatnam,2021
Plastic,155,Composting,Chennai,2023
Plastic,181,Recycling,Pune,2024
Paper,136,Landfill,Ghaziabad,2024
Organic,145,Recycling,Delhi,2020
Organic,231,Recycling,Kalyan-Dombivli,2020
Organic,288,Recycling,Kalyan-Dombivli,2021
Organic,70,Recycling,Delhi,2023
Paper,224,Composting,Indore,2020
Organic,52,Landfill,Surat,2020
Paper,223,Composting,Lucknow,2020
Plastic,188,Composting,Lucknow,2020
Organic,195,Recycling,Visakhapatnam,2020
Plastic,124,Recycling,Nashik,2022
Organic,181,Recycling,Pune,2022
Paper,136,Landfill,Ahmedabad,2023
Plastic,250,Recycling,Agra,2022
Plastic,253,Landfill,Lucknow,2020
Plastic,62,Composting,Hyderabad,2021
Paper,166,Recycling,Surat,2021
Plastic,98,Composting,Ludhiana,2022
Paper,172,Composting,Chennai,2020
Paper,125,Recycling,Kalyan-Dombivli,2020
Organic,90,Composting,Thane,2020
Organic,200,Recycling,Kalyan-Dombivli,2020
Organic,90,Composting,Kalyan-Dombivli,2020
Plastic,157,Landfill,Pimpri-Chinchwad,2023
Paper,117,Composting,Kolkata,2020
Plastic,52,Landfill,Nashik,2022
Plastic,188,Composting,Bhopal,2020
Organic,92,Composting,Nagpur,2021
Plastic,52,Landfill,Vasai-Virar,2023
Organic,65,Recycling,Kanpur,2022
Organic,202,Recycling,Patna,2021
Organic,125,Recycling,Mumbai,2020
